,LC_name,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK_AC
0,exampledata_66.ascii,125.0,0.41228070175438597,10.0,117667.37648286665,0.5,0.0,-0.21936874011488844,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
1,exampledata_23.ascii,122.0,0.4154676258992806,10.0,117667.37474147123,0.5,0.0,-0.2940667108485949,inf,58833.68737073561,1.5978685872744373e-06,0.08188149999841698,0.1906474820143885,0.9666666666666667,2.758054166055268e-06,0.16344725000089966,0.43488243438417573,0.003294518786411605,0.0,-1.211920428025582,0.09400850092322321,0.0
2,exampledata_42.ascii,124.0,0.40316901408450706,10.0,117667.37752905987,0.5,0.0,-0.4360080736630924,243221.9997473097,58833.688764529936,1.589221634448039e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.4332421828408995,-0.0011518195624547103,0.0,-1.1940386527878226,0.0934997710189735,0.0
3,exampledata_3.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.6920598524705819,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
4,exampledata_38.ascii,125.0,0.40350877192982454,10.0,117667.37648286665,0.5,0.0,-0.41329704983616505,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
5,exampledata_1.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.9769359541868282,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
6,exampledata_40.ascii,124.0,0.40492957746478875,10.0,117667.37715585211,0.5,0.0,-0.38603219812379463,inf,58833.688577926056,1.5933710276683862e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.4331092377234636,-0.005540189579912094,0.0,-1.1941467662334155,0.09374389483093183,0.0
7,exampledata_64.ascii,122.0,0.4125,10.0,117667.379660175,0.5,0.0,-0.12357293667726603,inf,58833.6898300875,1.5934944045025441e-06,0.08102950000102283,0.2017857142857143,0.9666666666666667,2.796747875216815e-06,0.16177074999723118,0.43251349419881324,-0.02996805587256939,0.0,-1.1868629450568149,0.09375115554048266,0.0
8,exampledata_21.ascii,120.0,0.4116575591985428,10.0,117667.37905298725,0.5,0.0,0.13243781684153488,277337.99971478106,58833.689526493625,1.5838177927115157e-06,0.08000300000276184,0.20218579234972678,0.9666666666666667,2.791852734448303e-06,0.15977700000075856,0.4323739112412033,-0.02295990621388369,0.0,-1.174882477696852,0.09318184428292575,1.0
9,exampledata_59.ascii,125.0,0.4077328646748682,10.0,117667.37650473462,0.5,0.0,-0.5067917956378176,inf,58833.68825236731,1.5948847267304503e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.43367100126195035,0.0011406240769119892,0.0,-1.2004252103885602,0.09383295081092134,0.0
10,exampledata_60.ascii,125.0,0.4017543859649123,10.0,117667.37648286665,0.5,0.0,-0.024970816075935945,149363.00038119196,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
11,exampledata_25.ascii,125.0,0.40350877192982454,10.0,117667.37648286665,0.5,0.0,0.9533459052322537,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
12,exampledata_18.ascii,124.0,0.42077464788732394,10.0,117667.37717582747,0.5,0.0,0.04089193088536798,264285.9997261355,58833.68858791373,1.5931869377780864e-06,0.08102950000102283,0.198943661971831,0.9666666666666667,2.758054166055268e-06,0.1617790000018431,0.43310600540474237,-0.005486029792672388,1.0,-1.1938518846957786,0.09373306415956782,1.0
13,exampledata_5.ascii,125.0,0.42105263157894735,10.0,117667.37648286665,0.5,0.0,1.6706058924881622,43875.99995826272,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0
