,LC_name,Amplitudes,amp1,amp_2_1_ratio,amp_3_1_ratio
0,exampledata_66.ascii,0.06138900000000014,13868.276779,8.675300070789861e-05,0.0001690344465492537
1,exampledata_23.ascii,0.04709825000000123,13308.103790000001,9.282210645632661e-05,9.469947770980368e-05
2,exampledata_42.ascii,0.07902449999999916,14101.917163,0.00017990450527262774,0.00023227349760485605
3,exampledata_3.ascii,0.026773500000000894,11850.253225,0.00010963880755907312,0.00011952601306789401
4,exampledata_38.ascii,0.08790549999999975,14152.090897,0.0002728813600968077,0.00010790671953903722
5,exampledata_1.ascii,0.040118999999998906,12056.132897,0.00013173473334257874,0.00013013482516977248
6,exampledata_40.ascii,0.09331050000000118,14153.774879,0.00016083803594994529,0.00014407934499238145
7,exampledata_64.ascii,0.09311749999999819,13862.787107,0.0001368091716694038,5.886726720133047e-05
8,exampledata_21.ascii,0.11855125000000122,13239.806910999998,9.56046459893322e-06,0.00043890449182339695
9,exampledata_59.ascii,0.08494250000000036,14049.811162999997,0.00024363926553997136,0.00022823749257984698
10,exampledata_60.ascii,0.074308499999999,14127.237225,0.00010407024238265636,9.011977223590418e-05
11,exampledata_25.ascii,0.1515664999999995,13784.328779,0.0018486161555689028,0.0009209850834343133
12,exampledata_18.ascii,0.15492099999999986,13295.473594,0.0007785832104664464,0.0017000699603215029
13,exampledata_5.ascii,0.0952130000000011,12735.394897,0.0011724307686320527,0.0005738217345619218
14,exampledata_44.ascii,0.6754990000000003,11933.801535000002,0.001014481432971873,0.001540181082477913
15,exampledata_46.ascii,0.09431049999999885,14180.210383999998,7.13997569600768e-05,8.426595594681572e-05
16,exampledata_7.ascii,0.05011299999999963,11684.324334,0.0001943086321595596,0.0001796506784635733
17,exampledata_62.ascii,0.09842550000000116,14141.278779,0.0003025566352900221,0.00033968107546189985
18,exampledata_27.ascii,0.13679549999999985,10046.507245,0.0015031207950271408,0.000762436026950591
19,exampledata_41.ascii,0.1431754999999999,14020.585487,0.0003055747382091662,0.0002610776488261161
20,exampledata_39.ascii,0.11265449999999966,13986.185755,0.00013485159464247002,0.0002479634734977933
21,exampledata_58.ascii,0.058759499999998965,13875.391548999996,0.0001246745176567658,0.00010135973160682348
22,exampledata_20.ascii,0.23333599999999954,13679.427202999997,0.004408624455455191,0.0009519005699514424
23,exampledata_65.ascii,0.07852049999999977,13053.987221,0.0002024774187107634,0.00011463948498591578
24,exampledata_22.ascii,0.3101649999999996,11543.865750999998,0.004421125492497831,0.002123902497569233
25,exampledata_67.ascii,0.0751584999999988,13939.991849000002,6.295042883762454e-05,0.00022657297886339136
26,exampledata_2.ascii,0.06521000000000043,11716.101225,0.0008724822042858023,0.0004085814386153959
27,exampledata_43.ascii,0.06538549999999965,13896.934404,0.00011928898280685626,7.499011730630781e-05
28,exampledata_6.ascii,0.11260599999999954,12612.909404,0.0015955711846005179,0.0007544327347085387
29,exampledata_47.ascii,0.06427399999999928,13920.318225,0.0001015679141214383,5.391617983268948e-05
30,exampledata_26.ascii,0.2348220000000012,13673.941810999997,0.004621467309186166,0.0005923609426121477
31,exampledata_63.ascii,0.056453499999999934,13676.488835,0.00012567973685169182,0.00016076997716115766
32,exampledata_19.ascii,0.41213449999999874,13718.894404000002,0.006070987189096832,0.0044169051090358355
33,exampledata_24.ascii,0.04727549999999958,13391.254810999999,2.886704009967003e-05,1.6231748855328585e-05
34,exampledata_61.ascii,0.4091074999999993,11113.919875,0.0012575651410516029,0.0013079285551963118
35,exampledata_45.ascii,0.08503900000000009,14123.452404,0.0001320434959662625,0.0001081106834335511
36,exampledata_4.ascii,0.027823499999998447,12885.663894999998,3.930204863522962e-05,1.5929042595756962e-05
37,exampledata_8.ascii,0.1573670000000007,13715.758811,0.0010918038588481052,0.001119106656476105
38,exampledata_31.ascii,0.20646050000000038,13806.368594999996,0.003825983786273428,0.0003044854340724026
39,exampledata_49.ascii,0.05587099999999978,13910.052225,7.102585858385365e-05,5.405186144559522e-05
40,exampledata_28.ascii,0.12682549999999893,13654.849385999996,0.0015073932987627067,0.0006566716050050321
41,exampledata_50.ascii,0.09653199999999984,14239.877225,0.00016221040718585066,0.0001847854868927909
42,exampledata_15.ascii,0.1200285000000001,13342.974389999996,0.0004537789151134121,0.0009028062395675193
43,exampledata_52.ascii,0.09575449999999996,13753.782694999998,0.0002141610642796985,0.0001467606196207476
